product_clean,meddra_pt,first_signal_yq,first_signal_idx,max_cusum
HYDROXYCUT HARDCORE,Nausea,2009-Q2,30,6.18421052631579
HYDROXYCUT HARDCORE,Vomiting,2009-Q2,30,6.81052631578947
HYDROXYCUT HARDCORE CAPSULES,Anxiety,2011-Q2,38,13.930668118081
HYDROXYCUT HARDCORE CAPSULES,Cardio-Respiratory Distress,2012-Q4,44,6.21578947368421
HYDROXYCUT HARDCORE CAPSULES,Emotional Distress,2010-Q3,35,15.7674501118595
HYDROXYCUT HARDCORE CAPSULES,Hepatitis,2011-Q2,38,5.40526315789474
HYDROXYCUT HARDCORE CAPSULES,Hepatocellular Injury,2011-Q2,38,6.21578947368421
HYDROXYCUT HARDCORE CAPSULES,Injury,2011-Q1,37,14.4368085982592
HYDROXYCUT HARDCORE CAPSULES,Jaundice,2011-Q2,38,8.05263157894737
HYDROXYCUT HARDCORE CAPSULES,Liver Function Test Abnormal,2011-Q2,38,9.41864854537634
HYDROXYCUT HARDCORE CAPSULES,Liver Injury,2012-Q2,42,11.4736842105263
HYDROXYCUT HARDCORE CAPSULES,Myalgia,2010-Q4,36,6.30526315789474
HYDROXYCUT HARDCORE CAPSULES,Pain,2011-Q1,37,13.5115103010229
HYDROXYCUT HARDCORE CAPSULES,Rhabdomyolysis,2011-Q2,38,11.4439147719366
HYDROXYCUT MAX LIQUID CAPS,Liver Function Test Abnormal,2011-Q2,38,9.4251682975579
HYDROXYCUT REGULAR DRINK MIX SACHETS,Emotional Distress,2011-Q2,38,7.24210526315789
