product_clean,base_name,n_signals,total_cases
"CENTRUM SILVER ULTRA WOMEN'S (MULTIMINERAL, MULTIVITAMINS) TABLET",CENTRUM SILVER,2,18
CENTRUM SILVER ULTRA WOMEN'S (MULTIMINERALS MULTIVITAMINS) TABLET,CENTRUM SILVER,2,12
"CENTRUM SILVER ULTRA WOMEN'S MULTIMINERALS, MULTIVITAMINS TABLET",CENTRUM SILVER,2,15
CENTRUM SILVER ULTRA WOMENS,CENTRUM SILVER,2,16
CENTRUM SILVER ULTRA WOMENS MULTIMINERALS MULTIVITAMINS,CENTRUM SILVER,2,17
"CENTRUM SILVER WOMEN'S 50 (MULTIMINERALS, MULTIVITAMINS) TABLET",CENTRUM SILVER,2,10
CENTRUM SILVER WOMEN'S 50 PLUS,CENTRUM SILVER,2,11
CENTRUM SILVER WOMEN'S 50+ MULTIMINERALS MULTIVITAMIN TABLET,CENTRUM SILVER,2,7
CENTRUM SILVER WOMEN'S 50+ MULTIMINERALS MULTIVITAMINSTABLET,CENTRUM SILVER,2,8
CENTRUM SILVER WOMEN'S 50+ TABLET,CENTRUM SILVER,2,15
"CENTRUM SILVER WOMEN'S 50+(MUL TIMINERALS, MULTIVITAMINS) TABLET",CENTRUM SILVER,2,12
CENTRUM SILVER WOMENS 50+ (MULTIMINERALS MULTIVITAMIN) TABLET,CENTRUM SILVER,2,8
CENTRUM SILVER WOMENS 50+ (MULTIMINERALS MULTIVITAMINS) TABLET,CENTRUM SILVER,2,8
"CENTRUM SILVER WOMENS 50+ (MULTIMINERALS, MULTIVITAMINS) TABLET",CENTRUM SILVER,2,7
CENTRUM SILVER WOMENS 50+ MULTIMINERALS MULTIVITAMIN TABLET,CENTRUM SILVER,2,14
CENTRUM SILVER ADULTS 50 PLUS,CENTRUM SILVER,1,5
CENTRUM SILVER ADULTS 50 PLUS MULTIMINERALS MULTIVITAMINS TABLET,CENTRUM SILVER,1,4
"CENTRUM SILVER ADULTS 50+ (MULTIMINERALS, MULTIVITAMINS)",CENTRUM SILVER,1,4
"CENTRUM SILVER ADULTS 50+ (MULTIMINERALS, MULTIVITAMINS) CHEWABLE TABLET",CENTRUM SILVER,1,3
"CENTRUM SILVER ADULTS 50+(MUL TIMINERALS, MULTIVITAMINS) TABLET",CENTRUM SILVER,1,3
CENTRUM SILVER CHEWABLE TABLET,CENTRUM SILVER,1,3
CENTRUM SILVER FOR MEN,CENTRUM SILVER,1,3
CENTRUM SILVER FOR WOMEN,CENTRUM SILVER,1,6
CENTRUM SILVER MEN'S 50 PLUS,CENTRUM SILVER,1,6
CENTRUM SILVER MENS 50 PLUS MULTIMINERALS MULTIVITAMINS TABLET,CENTRUM SILVER,1,3
CENTRUM SILVER MULTIMINERAL MULTIVITAMINS TABLET,CENTRUM SILVER,1,3
"CENTRUM SILVER MULTIMINERALS, MULTIVITAMIN TABLET",CENTRUM SILVER,1,3
CENTRUM SILVER MULTIVITAMIN MULTIMINERAL SUPPLEMENT,CENTRUM SILVER,1,3
"CENTRUM SILVER ULTRA WOMEN'S (MULTIMINERAL, MULTIVITAMIN) TABLET",CENTRUM SILVER,1,4
"CENTRUM SILVER ULTRA WOMEN'S (MULTIMINERAL, MULTIVITAMINS)",CENTRUM SILVER,1,3
"CENTRUM SILVER ULTRA WOMEN'S (MULTIMINERALS, MULTIVITAMINS)",CENTRUM SILVER,1,6
"CENTRUM SILVER ULTRA WOMEN'S (MULTIMINERALS, MULTIVITAMINS)TABLET",CENTRUM SILVER,1,3
"CENTRUM SILVER ULTRA WOMEN'S (MULTIVITAMINS, MULTIMINERALS) TABLET",CENTRUM SILVER,1,3
CENTRUM SILVER ULTRA WOMEN'S TABLET,CENTRUM SILVER,1,9
"CENTRUM SILVER ULTRA WOMENS (MULTIMINERALS, MULTIVITAMINS) TABLET",CENTRUM SILVER,1,3
CENTRUM SILVER ULTRA WOMENS MULTIMINERAL MULTIVITAMINS,CENTRUM SILVER,1,5
CENTRUM SILVER ULTRA WOMENS MULTIMINERALS MULTIVITAMIN TABLET,CENTRUM SILVER,1,3
CENTRUM SILVER ULTRA WOMENS MULTIMINERALS MULTIVITAMINS TABLETS,CENTRUM SILVER,1,3
CENTRUM SILVER ULTRA WOMENS TABLET,CENTRUM SILVER,1,3
CENTRUM SILVER WOMEN 50 PLUS,CENTRUM SILVER,1,17
"CENTRUM SILVER WOMEN'S (MULTIMINERALS, MULTIVITAMINS) TABLET",CENTRUM SILVER,1,4
CENTRUM SILVER WOMEN'S 50 + MULTIMINERALS MULTIVITAMINS TABLET,CENTRUM SILVER,1,3
"CENTRUM SILVER WOMEN'S 50 PLUS (MUL TIMINERALS, MULTIVITAMINS) TABLET",CENTRUM SILVER,1,5
"CENTRUM SILVER WOMEN'S 50+ (MUL TIMINERALS, MULTIVITAMINS) TABLET",CENTRUM SILVER,1,3
"CENTRUM SILVER WOMEN'S 50+ (MULTIMINERAL, MULTIVITAMINS) TABLET",CENTRUM SILVER,1,3
CENTRUM SILVER WOMEN'S 50+ (MULTIMINERALS + MULTIVITAMINS) TABLET,CENTRUM SILVER,1,4
"CENTRUM SILVER WOMEN'S 50+ (MULTIMINERALS, MULTIMINERALS) TABLET",CENTRUM SILVER,1,3
CENTRUM SILVER WOMEN'S 50+ MULTIMINERALS MULTIVITAMIN,CENTRUM SILVER,1,5
CENTRUM SILVER WOMEN'S 50+ MULTIMINERALS MULTIVITAMINS,CENTRUM SILVER,1,3
CENTRUM SILVER WOMEN'S 50+ MULTIMINERALS MULTIVITAMINS TABLETS,CENTRUM SILVER,1,3
CENTRUM SILVER WOMEN'S MULTIMINERALS MULTIVITAMINS TABLET,CENTRUM SILVER,1,3
CENTRUM SILVER WOMENS 50 PLUS,CENTRUM SILVER,1,4
CENTRUM SILVER WOMENS 50+,CENTRUM SILVER,1,3
"CENTRUM ULTRA WOMEN'S (MULTIMINERALS, MULTIVITAMINS) TABLET",CENTRUM ULTRA,4,58
CENTRUM ULTRA WOMENS MULTIMINERALS MULTIVITAMINS TABLET,CENTRUM ULTRA,4,41
"CENTRUM ULTRA WOMEN'S (MULTIMINERAL, MULTIVITAMIN) TABLET",CENTRUM ULTRA,2,10
CENTRUM ULTRA WOMEN'S MULTIMINERALS MULTIVITAMINS TABLET,CENTRUM ULTRA,2,14
CENTRUM ULTRA WOMEN'S TABLET,CENTRUM ULTRA,1,3
CENTRUM ULTRA WOMENS,CENTRUM ULTRA,1,3
