product_clean,meddra_pt,in_era1,in_era2,a,prr,n_methods
ARBONNE ESSENTIALS ENERGY FIZZ STICKS - POMEGRANATE,Dyspnoea,FALSE,TRUE,8,4.68856721087536,4
ARBONNE ESSENTIALS GREENS BALANCE,Dyspnoea,FALSE,TRUE,8,6.33123140987508,4
ARBONNE ESSENTIALS PROTEIN SHAKE MIX - VANILLA,Pharyngeal Oedema,FALSE,TRUE,8,22.3522488440521,4
CALTRATE 600 + VITAMIN D,Dysphagia,FALSE,TRUE,8,5.980484238351,4
CITRACAL CALCIUM + D3 GUMMIES,Choking,FALSE,TRUE,8,7.79898908504871,4
CITRACAL MAXIMUM PLUS,Foreign Body In Throat,FALSE,TRUE,8,13.1189932761705,4
CITRACAL PETITES,Throat Irritation,FALSE,TRUE,8,2.97125167100542,3
"CITRACAL, MAXIMUM, BAYER",Choking,FALSE,TRUE,8,6.12708645101876,4
EXTENZE PLUS,Cold Sweat,FALSE,TRUE,8,77.7865497076023,4
FLINTSTONES COMPLETE CHEWABLE,Choking,FALSE,TRUE,8,2.95623662785851,3
GUNDRY MD MCT WELLNESS WATERMELON LEMONADE,Hospitalisation,FALSE,TRUE,8,31.3751842027704,4
KRATOM,Drug Abuse,FALSE,TRUE,8,40.3492307692308,4
KRATOM,Needle Track Marks,FALSE,TRUE,8,Inf,4
MODERE BURN,Abdominal Pain Upper,FALSE,TRUE,8,2.54577701083309,3
NATUREMADE VITAMIN C,Dyspnoea,FALSE,TRUE,8,7.03523035230352,4
ONE A DAY MEN'S MULTIVITAMIN,Foreign Body,FALSE,TRUE,8,9.52802148612355,4
ONE A DAY MENS 50 PLUS HEATHLY ADVANTAGE,Foreign Body,FALSE,TRUE,8,5.95232766338406,4
ONE A DAY MENS 50 PLUS HEATHLY ADVANTAGE,Foreign Body In Throat,FALSE,TRUE,8,17.6359416445623,4
ONE A DAY WOMENS,Foreign Body,FALSE,TRUE,8,11.2107009321186,4
PLEXUS PROBIO 5,Diarrhoea,FALSE,TRUE,8,3.9012834616795,3
PLEXUS PROBIO5,Abdominal Pain Upper,FALSE,TRUE,8,4.47585176455734,4
PLEXUS PROBIO5,Diarrhoea,FALSE,TRUE,8,2.85341704902198,3
PLEXUS SLIM,Abdominal Pain,FALSE,TRUE,8,4.24567432567433,4
PLEXUS SLIM,Hepatic Enzyme Increased,FALSE,TRUE,8,11.119623233909,4
PRESERVISION AREDS 2,Lacrimation Increased,FALSE,TRUE,8,7.3225097483162,4
PRESERVISION AREDS 2 MULTIVITAMIN,Macular Degeneration,FALSE,TRUE,8,17.4267682976805,4
PREVAGEN EXTRA STRENGTH,Cerebrovascular Accident,FALSE,TRUE,8,10.5640872720044,4
