stratum,product_clean,meddra_pt,a,expected,prr,ror,eb05,ic,ic025,n_methods,robust_signal,ror_lower
Age 18-39,EXEMPTION 4,Aspartate Aminotransferase Increased,8,3.53816178446654,2.31333306965154,2.5319754365042,0.207479762815726,1.07376412944872,0.401873709919379,3,TRUE,1.2453994880939
Age 18-39,EXTENZE PLUS,Tremor,8,0.378930395055093,21.8208516886931,59.8092796092796,3.37946399369083,3.27364201728205,2.60175159775271,4,TRUE,18.933196640421
Age 18-39,KRATOM,Pulmonary Congestion,8,0.35622144584789,79.6791147994468,74.8696849189355,3.46504857413664,3.3114069648508,2.63951654532146,4,TRUE,21.4159199420363
Age 18-39,KRATOM,Seizure,8,1.71633969363074,5.31194098662978,5.72560416029367,1.24454909797021,1.939283824142,1.26739340461266,4,TRUE,2.72115871597037
Age 18-39,KRATOM,Visceral Congestion,8,0.259070142434829,Inf,524.306209850107,3.90231562150805,3.48515773104073,2.81326731151138,4,TRUE,30.1709897386728
Age 18-39,LACTAID FAST ACT,Nausea,8,2.50094060736361,3.21594108728612,5.04601860227774,0.705428375814063,1.50204807489991,0.830157655370561,3,TRUE,2.0377939180986
Age 18-39,OXYELITE PRO,Alanine Aminotransferase Increased,8,1.53184627788229,5.3983918128655,6.41686999868818,1.40707429780656,2.06467158408416,1.39278116455481,4,TRUE,3.05651672431938
Age 18-39,ARBONNE ESSENTIALS DAILY FIBER BOOST,Pharyngeal Oedema,7,0.260682612201021,28.8633333333333,45.012277470841,3.6244051388926,3.30152406241269,2.58619397915589,4,TRUE,18.0033379329379
Age 18-39,ARBONNE ESSENTIALS DIGESTION PLUS,Pharyngeal Oedema,7,0.312819134641225,24.0398148148148,34.7048145224941,3.37479598106971,3.20588432538498,2.49055424212817,4,TRUE,14.3924604768852
Age 18-39,ARBONNE ESSENTIALS ENERGY FIZZ STICKS - CITRUS,Hypersensitivity,7,0.850309056705187,8.34606741573034,15.675645342312,1.97540923195354,2.47360094866835,1.75827086541155,4,TRUE,5.67146301051337
Age 18-39,ARBONNE ESSENTIALS ENERGY FIZZ STICKS - POMEGRANATE,Hypersensitivity,7,1.03251814028487,6.87045604758757,11.1920795254129,1.69981997088588,2.29098644453479,1.57565636127799,4,TRUE,4.36345869429823
Age 18-39,ARBONNE ESSENTIALS PROTEIN SHAKE MIX - VANILLA,Dyspnoea,7,2.02042461703843,3.48895157498825,4.89356273237588,0.741692606826545,1.57322378994252,0.857893706685721,3,TRUE,2.01974187393209
Age 18-39,HYDROXYCUT,Asthenia,7,2.63034130610051,2.71459453759359,3.04340719473542,0.363624075311835,1.26057063053559,0.545240547278793,3,TRUE,1.42287346896097
Age 18-39,HYDROXYCUT HARDCORE CAPSULES,Hepatitis,7,0.622950819672131,12.2753623188406,14.479242294238,2.41497761128943,2.73959585021088,2.02426576695408,4,TRUE,6.51204229084924
Age 18-39,HYDROXYCUT REGULAR RAPID RELEASE CAPLETS,Hepatic Steatosis,7,0.449879064767536,20.6556451612903,22.724961079398,2.87128131474196,2.98107484417471,2.26574476091791,4,TRUE,9.65435823770525
Age 18-39,KRATOM,Obesity,7,0.518140284869659,23.2397418165053,24.2144540455617,2.67375656651588,2.88095423818111,2.1656241549243,4,TRUE,9.21439838508243
Age 18-39,MODERE BURN,Diarrhoea,7,2.57672668637463,2.73819833139719,3.35173257236038,0.39316052827634,1.28549430459391,0.570164221337107,3,TRUE,1.48805210814776
